Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n2_1,0.187516331,-1.0,-1.0,-1.0,2
r1n3_1,0.004264316,0.001838353,0.002047414,0.0025728,2
r1n3_3,0.004648179,0.000606819,-1.0,-1.0,2
r1n4_3,0.016482689,-1.0,-1.0,-1.0,2
r1n4_1,0.017754359,-1.0,-1.0,-1.0,2
r1n4_7,0.020246521,-1.0,-1.0,-1.0,2
r2n4_01,0.030175404,-1.0,-1.0,-1.0,2
r1n5_03,0.123079268,-1.0,-1.0,-1.0,2
r1n5_07,0.052436022,-1.0,-1.0,-1.0,2
r2n4_03,0.049918921,-1.0,-1.0,-1.0,2
r2n4_1e,0.060106907,-1.0,-1.0,-1.0,2
r2n4_1f,0.138655119,-1.0,-1.0,-1.0,2
r2n4_0b,0.067128716,-1.0,-1.0,-1.0,2
r1n3_7,0.0046965,-1.0,-1.0,-1.0,2
r0n1_1,6.5461e-5,-1.0,-1.0,-1.0,2
r2n5_001,0.085507301,-1.0,-1.0,-1.0,2
r1n6_07,0.199556552,-1.0,-1.0,-1.0,2
r1n2_3,0.000772886,-1.0,-1.0,-1.0,2
r2n5_003,0.196558147,-1.0,-1.0,-1.0,2
r2n4_07,0.061017065,-1.0,-1.0,-1.0,2
r2n5_013,0.240607249,-1.0,-1.0,-1.0,2
r2n5_007,0.176403867,-1.0,-1.0,-1.0,2
r1n4_f,0.177397656,-1.0,-1.0,-1.0,3
r1n5_01,0.221051153,-1.0,-1.0,-1.0,3
r1n5_0f,0.23357485,-1.0,-1.0,-1.0,3
r2n5_07e,0.305875638,-1.0,-1.0,-1.0,2
r1n6_03,0.318376023,-1.0,-1.0,-1.0,3
r2n5_1ef,0.288068849,-1.0,-1.0,-1.0,2
r2n5_036,0.292496426,-1.0,-1.0,-1.0,2
r2n4_3f,0.283862093,-1.0,-1.0,-1.0,3
r2n5_1ff,0.317062473,-1.0,-1.0,-1.0,2
r2n5_037,0.326118489,-1.0,-1.0,-1.0,2
r2n5_07f,0.33220028,-1.0,-1.0,-1.0,2
r2n6_0003,0.38553385,-1.0,-1.0,-1.0,2
r1n6_0f,0.348528239,-1.0,-1.0,-1.0,3
r2n6_0001,0.456423937,-1.0,-1.0,-1.0,3
r2n5_00f,0.494173005,-1.0,-1.0,-1.0,3
r2n6_0023,0.478443203,-1.0,-1.0,-1.0,2
r2n6_0007,0.539971202,-1.0,-1.0,-1.0,2
r2n6_0066,0.587137589,-1.0,-1.0,-1.0,2
r2n6_3dff,0.86591395,-1.0,-1.0,-1.0,2
r2n6_0067,0.756891721,-1.0,-1.0,-1.0,2
r2n6_00ee,0.813933601,-1.0,-1.0,-1.0,2
r2n7_000003,1.009272588,-1.0,-1.0,-1.0,3
r2n7_000007,1.074274526,-1.0,-1.0,-1.0,2
r2n5_0b7,0.744645318,-1.0,-1.0,-1.0,3
r2n6_0fdf,1.004620169,-1.0,-1.0,-1.0,2
r2n6_000f,0.904041791,-1.0,-1.0,-1.0,3
r2n6_06cf,0.975758546,-1.0,-1.0,-1.0,2
r2n6_0fff,1.088145413,-1.0,-1.0,-1.0,2
r2n6_0fdc,1.028023336,-1.0,-1.0,-1.0,2
r2n6_00ef,0.989602212,-1.0,-1.0,-1.0,2
r2n6_3dfe,1.145243704,-1.0,-1.0,-1.0,3
r2n7_000043,1.296229167,-1.0,-1.0,-1.0,3
r2n6_06ef,1.175199157,-1.0,-1.0,-1.0,2
r2n6_01fe,1.318599426,-1.0,-1.0,-1.0,3
r2n6_01ff,1.368428065,-1.0,-1.0,-1.0,3
r2n6_0267,1.299899248,-1.0,-1.0,-1.0,3
r2n6_3fff,1.54323634,-1.0,-1.0,-1.0,3
r2n7_0001cf,2.735217968,-1.0,-1.0,-1.0,2
r2n7_0008c7,2.263117138,-1.0,-1.0,-1.0,3
r2n7_0019cf,2.618990667,-1.0,-1.0,-1.0,2
r2n7_003b9f,2.748835302,-1.0,-1.0,-1.0,2
r2n7_0f7fff,2.095562586,-1.0,-1.0,-1.0,2
r2n7_003bdf,3.274877336,-1.0,-1.0,-1.0,2
r2n7_007fbc,3.171583576,-1.0,-1.0,-1.0,3
r2n7_0003df,3.026639017,-1.0,-1.0,-1.0,3
r1n5_1f,16.411999128,-1.0,-1.0,-1.0,3
r1n6_1f,16.26774965,-1.0,-1.0,-1.0,3
r1n6_01,16.378705121,-1.0,-1.0,-1.0,3
r2n6_001f,18.02666226,-1.0,-1.0,-1.0,3
r3n6_00001,23.794505273,-1.0,-1.0,-1.0,3
r2n5_3ff,20.254675891,-1.0,-1.0,-1.0,3
r2n7_000001,17.396366268,-1.0,-1.0,-1.0,3
r2n6_16ef,25.555102812,-1.0,-1.0,-1.0,3
r1n7_03,17.401711061,-1.0,-1.0,-1.0,3
r2n7_0007fe,21.573499616,-1.0,-1.0,-1.0,3
r2n7_0007ff,22.104342735,-1.0,-1.0,-1.0,3
r2n7_0099cf,28.374326491,-1.0,-1.0,-1.0,3
r3n6_00003,76.499865297,-1.0,-1.0,-1.0,3
r3n6_00007,158.903884899,-1.0,-1.0,-1.0,3
r3n6_00013,166.73078818,-1.0,-1.0,-1.0,3
r3n7_000000003,222.659957387,-1.0,-1.0,-1.0,3
r3n6_00036,932.557084407,-1.0,-1.0,-1.0,3
r3n6_0000f,723.757669151,-1.0,-1.0,-1.0,3
r3n6_00037,825.469695342,-1.0,-1.0,-1.0,3
r3n6_00413,902.810897551,-1.0,-1.0,-1.0,3
r3n6_0007e,1897.595776155,-1.0,-1.0,-1.0,3
r3n6_0007f,2317.691519107,-1.0,-1.0,-1.0,3
r3n6_00c36,-1.0,-1.0,-1.0,-1.0,-1
r3n6_00c37,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000008023,-1.0,-1.0,-1.0,-1.0,-1
r3n6_000b7,-1.0,-1.0,-1.0,-1.0,-1
r3n6_001ef,-1.0,-1.0,-1.0,-1.0,-1
r3n6_02cb3,-1.0,-1.0,-1.0,-1.0,-1
r3n6_01c7e,-1.0,-1.0,-1.0,-1.0,-1
r3n6_01c7f,-1.0,-1.0,-1.0,-1.0,-1
r3n6_079e0,-1.0,-1.0,-1.0,-1.0,-1
r3n6_0fff0,-1.0,-1.0,-1.0,-1.0,-1
r3n6_001ff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_079e3,-1.0,-1.0,-1.0,-1.0,-1
r3n6_079ef,-1.0,-1.0,-1.0,-1.0,-1
r3n6_02cb7,-1.0,-1.0,-1.0,-1.0,-1
r3n6_07dfd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000067,-1.0,-1.0,-1.0,-1.0,-1
r3n6_07df3,-1.0,-1.0,-1.0,-1.0,-1
r3n6_003ff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000018066,-1.0,-1.0,-1.0,-1.0,-1
r3n6_0fff7,-1.0,-1.0,-1.0,-1.0,-1
r1n6_3f,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7fffe,-1.0,-1.0,-1.0,-1.0,-1
r3n6_379ff,-1.0,-1.0,-1.0,-1.0,-1
r2n6_7fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000018067,-1.0,-1.0,-1.0,-1.0,-1
r3n6_07dff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_05bbdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_0ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00003f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fc3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b86ed,-1.0,-1.0,-1.0,-1.0,-1
r3n6_37dff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bde0,-1.0,-1.0,-1.0,-1.0,-1
