Name,Aut_bases_-1_timed,Aut_circuits_6_timed,Aut_bases_-1,Aut_bases_-1_max_deg,Aut_circuits_6,Aut_circuits_6_max_deg,Aut_circuits_-1,Aut_circuits_-1_max_deg,Aut_bases_6_timed,Aut_bases_6,Aut_bases_6_max_deg
r1n7_01,,,,,,,,,220.488780192,false,3
r1n2_1,0.120543333,,,,,,true,2,,,
r0n1_1,0.073384228,1.26644398,true,2,true,1,,,,,
r0n2_1,,1.335225048,,,true,2,,,,,
r0n3_1,,1.426905122,,,true,2,,,,,
r0n4_1,,1.66772892,,,false,3,,,,,
r0n5_1,,11.463971589,,,false,3,,,,,
r0n6_1,,174.119226167,,,false,3,,,,,
r0n7_1,,2734.203973581,,,false,3,,,,,
r1n2_3,0.120007977,1.325056453,true,2,true,2,true,2,,,
r1n3_1,0.122610199,1.328479059,true,2,true,2,true,2,,,
r1n3_3,0.1228897,1.259551444,true,2,true,2,true,2,,,
r1n3_7,0.123874818,1.34087149,true,2,true,2,,,,,
r1n4_01,0.009448297,0.005325578,true,2,true,2,true,2,,,
r1n4_03,0.011858639,0.002330183,true,2,true,2,true,2,,,
r1n4_07,0.015096035,0.008067777,true,2,true,2,true,2,,,
r1n4_0f,0.181399337,1.60493491,false,3,false,3,false,3,,,
r1n5_01,0.183867127,0.365556735,false,3,false,3,false,3,,,
r1n5_03,0.035692838,0.008936812,true,2,true,2,true,2,,,
r1n5_07,0.048481029,0.011715437,true,2,true,2,true,2,,,
r1n5_0f,0.233555933,0.400610149,false,3,false,3,false,3,,,
r1n5_1f,15.501375537,12.243928197,false,3,false,3,false,3,,,
r1n6_01,15.999940005,12.589161933,false,3,false,3,false,3,,,
r1n6_03,0.222029782,0.354078705,false,3,false,3,false,3,,,
r1n6_07,0.090691358,0.025725175,true,2,true,2,true,2,,,
r1n6_0f,0.350734838,0.447770285,false,3,false,3,false,3,,,
r1n6_1f,15.760697942,14.18904674,false,3,false,3,false,3,,,
r1n6_3f,1844.013789087,183.584149287,false,3,false,3,false,3,,,
r1n7_03,24.172911886,17.035695916,false,3,false,3,,,34.13573786,false,3
r1n7_07,,1.816460726,false,3,false,3,,,1.927093399,false,3
r1n7_0f,,2.610650412,false,3,false,3,,,2.422287387,false,3
r1n7_1f,,17.048967775,false,3,false,3,,,19.392593853,false,3
r1n7_3f,,221.365551702,false,3,false,3,,,221.617648946,false,3
r1n7_7f,200093.36842506,3783.49107095,false,3,false,3,,,1801.020415497,false,3
r2n4_01,0.025327721,0.001731692,true,2,true,2,true,2,,,
r2n4_03,0.041944118,0.015065102,true,2,true,2,true,2,,,
r2n4_07,0.125256727,0.027762359,true,2,true,2,true,2,,,
r2n4_0b,0.059652611,0.052301431,true,2,true,2,true,3,,,
r2n4_1e,0.041946245,0.03061317,false,2,false,2,false,2,,,
r2n4_1f,0.050895836,0.059894483,true,2,true,3,true,3,,,
r2n4_3f,0.281037453,1.211691075,false,3,true,3,true,3,,,
r2n5_001,0.075041978,0.058343223,true,2,true,2,true,2,,,
r2n5_003,0.103880384,0.007022412,true,2,true,2,true,2,,,
r2n5_007,0.15786366,0.042376122,true,2,true,2,true,2,,,
r2n5_00f,0.34650194,0.416089249,false,3,false,3,false,3,,,
r2n5_013,0.15714653,0.55882623,true,2,true,2,true,3,,,
r2n5_036,0.190481435,0.092504386,false,2,false,2,false,2,,,
r2n5_037,0.216981739,0.089973427,true,2,true,3,true,3,,,
r2n5_07e,0.21948521,0.075426537,true,2,true,2,true,2,,,
r2n5_07f,0.292228895,0.312796863,true,2,true,3,true,3,,,
r2n5_0b7,0.696816326,1.042884185,false,3,true,3,true,3,,,
r2n5_1ef,0.225140284,0.438395307,false,2,false,2,false,3,,,
r2n5_1ff,0.283558706,1.520437452,true,2,true,3,true,3,,,
r2n5_3ff,19.430355028,33.799366201,false,3,true,4,true,4,,,
r2n6_0001,0.371209974,0.517453639,false,3,false,3,false,3,,,
r2n6_0003,0.328445238,0.018379945,true,2,true,2,true,2,,,
r2n6_0007,0.418602525,0.057800928,true,2,true,2,true,2,,,
r2n6_000f,0.766893033,0.45177732,false,3,false,3,false,3,,,
