Name,length,rank,Aut_B,Aut_C,Aut_B_stored,Aut_B_extra,Aut_C_extra,Aut_B_timed,Aut_C_stored
r1n2_3,2,1,true,true,true,true,true,0.093414023,true
r1n2_1,2,1,true,true,true,true,true,0.00071849,true
r1n3_7,3,1,true,true,true,true,true,0.070516828,true
r1n3_3,3,1,true,true,true,true,true,0.003596861,true
r1n3_1,3,1,true,true,true,true,true,0.003258046,true
r1n4_f,4,1,false,false,true,false,false,0.181399337,true
r1n4_3,4,1,false,false,true,false,false,0.011858639,true
r1n4_7,4,1,true,true,true,true,true,0.015096035,true
r1n4_1,4,1,true,true,true,true,true,0.012103202,true
r2n4_1,4,2,false,false,true,false,false,0.025327721,true
r2n4_b,4,2,true,true,true,true,true,0.059652611,true
r2n4_7,4,2,true,true,true,true,true,0.125256727,true
r2n4_1e,4,2,false,false,true,false,false,0.049616108,true
r2n4_3f,4,2,false,true,true,false,true,0.268979766,true
r2n4_1f,4,2,false,true,true,false,true,0.050895836,true
r2n4_3,4,2,true,true,true,true,true,0.041944118,true
r1n5_1,5,1,false,false,true,false,false,0.20193982,true
r1n5_3,5,1,false,false,true,false,false,0.035692838,true
r1n5_f,5,1,false,false,true,false,false,0.210333427,true
r1n5_1f,5,1,false,false,true,false,false,15.501375537,true
r1n5_7,5,1,false,false,true,false,false,0.036168404,true
r2n5_0d2,5,2,false,false,true,false,false,0.238709474,true
r2n5_001,5,2,false,false,true,false,false,0.075041978,true
r2n5_1f2,5,2,false,false,true,false,false,0.21948521,true
r2n5_033,5,2,false,false,true,false,false,0.382498896,true
r2n5_0d3,5,2,false,true,true,false,true,0.286693832,true
r2n5_003,5,2,false,false,true,false,false,0.103880384,true
r2n5_7f3,5,2,false,true,true,false,true,0.283558706,true
r2n5_ff3,5,2,false,true,true,false,true,19.430355028,true
r2n5_7b3,5,2,false,false,true,false,false,0.225140284,true
r2n5_1f3,5,2,false,true,true,false,true,0.292228895,true
r2n5_043,5,2,false,false,true,false,false,0.15714653,true
r2n5_2d3,5,2,false,true,true,false,true,0.696816326,true
r2n5_013,5,2,true,true,true,true,true,0.15786366,true
r1n6_7,6,1,false,false,true,false,false,0.090691358,true
r1n6_f,6,1,false,false,true,false,false,0.350734838,true
r1n6_1,6,1,false,false,true,false,false,15.999940005,true
r1n6_1f,6,1,false,false,true,false,false,15.760697942,true
r1n6_3f,6,1,false,false,true,false,false,1844.013789087,true
r1n6_3,6,1,false,false,true,false,false,0.222029782,true
r2n6_0067,6,2,false,false,true,false,false,0.616013686,true
r2n6_ff7f,6,2,false,true,true,false,true,1951.709409144,true
r2n6_1f5f,6,2,false,false,true,false,false,0.752551107,true
r2n6_7b7f,6,2,false,false,true,false,false,0.600035161,true
r2n6_2d6f,6,2,false,true,true,false,true,23.894623456,true
r2n6_0d4f,6,2,false,false,true,false,false,0.825228919,true
r2n6_003,6,2,false,false,true,false,false,0.328445238,true
r2n6_0023,6,2,false,false,true,false,false,0.416784498,true
r2n6_1f7f,6,2,false,true,true,false,true,0.832647555,true
r2n6_007,6,2,false,false,true,false,false,0.418602525,true
r2n6_1f5c,6,2,false,false,true,false,false,0.835675947,true
r2n6_001,6,2,false,false,true,false,false,0.371209974,true
r2n6_037f,6,2,false,false,true,false,false,1.058835905,true
r2n6_0467,6,2,false,false,true,false,false,1.15660619,true
r2n6_016e,6,2,false,false,true,false,false,0.654036497,true
r2n6_00f,6,2,false,false,true,false,false,0.766893033,true
r2n6_001f,6,2,false,false,true,false,false,17.514892397,true
r2n6_0066,6,2,false,false,true,false,false,0.513767804,true
r2n6_037e,6,2,false,false,true,false,false,1.050767027,true
r2n6_0d6f,6,2,false,true,true,false,true,1.015433435,true
r2n6_7b7e,6,2,false,false,true,false,false,0.919039667,true
r2n6_016f,6,2,false,true,true,false,true,0.84177375,true
r2n6_7f7f,6,2,false,true,true,false,true,1.207000885,true
r3n6_02cb7,6,3,true,,true,true,,1290.324902712,
r3n6_07df3,6,3,false,true,true,false,true,1442.806198707,true
r3n6_0ffff,6,3,false,,true,false,,2591.475284163,
r3n6_01c7f,6,3,true,,true,true,,817.630665621,
r3n6_7efdf,6,3,true,,true,true,,2623.202931133,
r3n6_079e0,6,3,false,false,true,false,false,829.278010387,true
r3n6_0fff7,6,3,true,,true,true,,1707.911588992,
r3n6_00003,6,3,false,false,true,false,false,65.678459804,true
r3n6_7ffff,6,3,true,,true,true,,8327.895714971,
r3n6_07dff,6,3,false,,true,false,,2278.991084206,
r3n6_7efdd,6,3,true,,true,true,,3227.79678856,
r3n6_00001,6,3,false,false,true,false,false,19.39436183,true
r3n6_7efff,6,3,true,,true,true,,2744.434104268,
r3n6_7fffe,6,3,true,,true,true,,1858.57428883,
r3n6_001ef,6,3,false,false,true,false,false,634.584699648,true
r3n6_003ff,6,3,false,true,true,false,true,1485.5308629,true
r3n6_0fff0,6,3,false,false,true,false,false,1043.437822745,true
r3n6_379ff,6,3,true,,true,true,,1945.829291169,
r3n6_01c7e,6,3,true,false,true,true,false,750.109513956,true
r3n6_0007e,6,3,false,false,true,false,false,370.03371687,true
r3n6_000b7,6,3,false,true,true,false,true,594.714454682,true
r3n6_079e3,6,3,false,false,true,false,false,1102.175718294,true
