hex & length & rank & girth & n_nonbases & ord(Aut) & Aut_bases_-1_max_deg \\
\texttt{3} & 2 & 1 & 2 & 0 & 2 & 2 \\
\texttt{3} & 3 & 1 & 1 & 1 & 2 & 2 \\
\texttt{1} & 3 & 1 & 1 & 2 & 2 & 2 \\
\texttt{07} & 4 & 1 & 1 & 1 & 6 & 2 \\
\texttt{03} & 4 & 1 & 1 & 2 & 4 & 2 \\
\texttt{01} & 4 & 1 & 1 & 3 & 6 & 2 \\
\texttt{1f} & 4 & 2 & 2 & 1 & 4 & 2 \\
\texttt{0b} & 4 & 2 & 1 & 3 & 6 & 2 \\
\texttt{07} & 4 & 2 & 2 & 3 & 6 & 2 \\
\texttt{03} & 4 & 2 & 1 & 4 & 2 & 2 \\
\texttt{01} & 4 & 2 & 1 & 5 & 4 & 2 \\
\texttt{07} & 5 & 1 & 1 & 2 & 12 & 2 \\
\texttt{03} & 5 & 1 & 1 & 3 & 12 & 2 \\
\texttt{1ff} & 5 & 2 & 2 & 1 & 12 & 2 \\
\texttt{07f} & 5 & 2 & 2 & 3 & 12 & 2 \\
\texttt{07e} & 5 & 2 & 2 & 4 & 12 & 2 \\
\texttt{037} & 5 & 2 & 1 & 5 & 4 & 2 \\
\texttt{013} & 5 & 2 & 1 & 7 & 12 & 2 \\
\texttt{007} & 5 & 2 & 1 & 7 & 6 & 2 \\
\texttt{003} & 5 & 2 & 1 & 8 & 4 & 2 \\
\texttt{001} & 5 & 2 & 1 & 9 & 12 & 2 \\
\texttt{07} & 6 & 1 & 1 & 3 & 36 & 2 \\
\texttt{0fff} & 6 & 2 & 2 & 3 & 36 & 2 \\
\texttt{0fdf} & 6 & 2 & 2 & 4 & 12 & 2 \\
\texttt{06ef} & 6 & 2 & 1 & 6 & 12 & 2 \\
\texttt{00ef} & 6 & 2 & 1 & 8 & 12 & 2 \\
\texttt{00ee} & 6 & 2 & 1 & 9 & 12 & 2 \\
\texttt{0067} & 6 & 2 & 1 & 10 & 8 & 2 \\
\texttt{0023} & 6 & 2 & 1 & 12 & 36 & 2 \\
\texttt{0007} & 6 & 2 & 1 & 12 & 12 & 2 \\
\texttt{0003} & 6 & 2 & 1 & 13 & 12 & 2 \\
\texttt{007df3} & 6 & 3 & 2 & 8 & 16 & 3 \\
\texttt{0079e3} & 6 & 3 & 2 & 10 & 8 & 3 \\
\texttt{002cb3} & 6 & 3 & 1 & 12 & 8 & 3 \\
\texttt{001c7e} & 6 & 3 & 2 & 11 & 36 & 3 \\
\texttt{000c36} & 6 & 3 & 1 & 14 & 12 & 3 \\
\texttt{000413} & 6 & 3 & 1 & 16 & 48 & 3 \\
\texttt{0001ff} & 6 & 3 & 2 & 11 & 12 & 3 \\
\texttt{00007f} & 6 & 3 & 2 & 13 & 12 & 3 \\
\texttt{00007e} & 6 & 3 & 2 & 14 & 12 & 3 \\
\texttt{000037} & 6 & 3 & 1 & 15 & 4 & 3 \\
\texttt{000013} & 6 & 3 & 1 & 17 & 12 & 3 \\
\texttt{000007} & 6 & 3 & 1 & 17 & 12 & 3 \\
\texttt{000003} & 6 & 3 & 1 & 18 & 8 & 3 \\
\texttt{000001} & 6 & 3 & 1 & 19 & 36 & 3 \\
