hex & length & rank & girth & n_nonbases & ord(Aut) & Aut_bases_-1_max_deg \\
\texttt{1} & 1 & 0 & 1 & 0 & 1 & 2 \\
\texttt{7} & 3 & 1 & 2 & 0 & 6 & 2 \\
\texttt{0f} & 4 & 3 & 4 & 0 & 24 & 3 \\
\texttt{0fffff} & 6 & 3 & 4 & 0 & 720 & 5 \\
\texttt{07ffff} & 6 & 3 & 3 & 1 & 36 & 3 \\
\texttt{07fffe} & 6 & 3 & 3 & 2 & 72 & 3 \\
\texttt{07efff} & 6 & 3 & 3 & 2 & 8 & 3 \\
\texttt{07efdf} & 6 & 3 & 3 & 3 & 6 & 3 \\
\texttt{07efdd} & 6 & 3 & 3 & 4 & 24 & 3 \\
\texttt{037dff} & 6 & 3 & 2 & 4 & 48 & 3 \\
\texttt{0379ff} & 6 & 3 & 2 & 5 & 12 & 3 \\
\texttt{012cb7} & 6 & 3 & 1 & 10 & 120 & 4 \\
\texttt{00fff7} & 6 & 3 & 3 & 5 & 12 & 3 \\
\texttt{007dff} & 6 & 3 & 2 & 6 & 8 & 3 \\
\texttt{007dfd} & 6 & 3 & 2 & 7 & 4 & 3 \\
\texttt{002cb7} & 6 & 3 & 1 & 11 & 12 & 3 \\
\texttt{001c7f} & 6 & 3 & 2 & 10 & 36 & 3 \\
\texttt{000c37} & 6 & 3 & 1 & 13 & 12 & 3 \\
\texttt{03f7ff} & 7 & 2 & 2 & 4 & 24 & 2 \\
\texttt{003bdf} & 7 & 2 & 1 & 9 & 36 & 2 \\
\texttt{003b9f} & 7 & 2 & 1 & 10 & 12 & 2 \\
\texttt{0019cf} & 7 & 2 & 1 & 12 & 24 & 2 \\
\texttt{0001cf} & 7 & 2 & 1 & 14 & 24 & 2 \\
\texttt{0001ce} & 7 & 2 & 1 & 15 & 24 & 2 \\
\texttt{0000c7} & 7 & 2 & 1 & 16 & 24 & 2 \\
\texttt{000007} & 7 & 2 & 1 & 18 & 36 & 2 \\
\texttt{0165b96ef} & 7 & 3 & 1 & 16 & 36 & 3 \\
\texttt{0165b96ee} & 7 & 3 & 1 & 17 & 72 & 3 \\
\texttt{0165996ef} & 7 & 3 & 1 & 17 & 8 & 3 \\
\texttt{0165996af} & 7 & 3 & 1 & 18 & 6 & 3 \\
\texttt{0165996ad} & 7 & 3 & 1 & 19 & 24 & 3 \\
\texttt{0061b86ef} & 7 & 3 & 1 & 19 & 48 & 3 \\
\texttt{0061b06ef} & 7 & 3 & 1 & 20 & 12 & 3 \\
\texttt{002098267} & 7 & 3 & 1 & 25 & 240 & 4 \\
\texttt{000ffbfe0} & 7 & 3 & 2 & 17 & 24 & 3 \\
\texttt{000f7bde7} & 7 & 3 & 2 & 16 & 8 & 3 \\
\texttt{0005b96e7} & 7 & 3 & 1 & 20 & 12 & 3 \\
\texttt{0003f8fff} & 7 & 3 & 2 & 16 & 24 & 3 \\
\texttt{0003f8ffd} & 7 & 3 & 2 & 17 & 12 & 3 \\
\texttt{0003f8fe3} & 7 & 3 & 2 & 19 & 48 & 5 \\
\texttt{0003f0fdf} & 7 & 3 & 2 & 18 & 24 & 3 \\
\texttt{0003f0fdc} & 7 & 3 & 2 & 20 & 24 & 3 \\
\texttt{0003f0fc3} & 7 & 3 & 2 & 21 & 24 & 3 \\
\texttt{0001b86ef} & 7 & 3 & 1 & 21 & 8 & 3 \\
\texttt{0001b86ed} & 7 & 3 & 1 & 22 & 4 & 3 \\
\texttt{0001b86e3} & 7 & 3 & 1 & 23 & 16 & 3 \\
\texttt{0001b06c3} & 7 & 3 & 1 & 25 & 8 & 3 \\
\texttt{000098267} & 7 & 3 & 1 & 26 & 24 & 3 \\
\texttt{000098263} & 7 & 3 & 1 & 27 & 16 & 3 \\
\texttt{0000380ef} & 7 & 3 & 1 & 25 & 36 & 3 \\
\texttt{0000380ee} & 7 & 3 & 1 & 26 & 36 & 3 \\
\texttt{000018067} & 7 & 3 & 1 & 28 & 24 & 3 \\
\texttt{000018066} & 7 & 3 & 1 & 29 & 24 & 3 \\
\texttt{000008023} & 7 & 3 & 1 & 31 & 144 & 3 \\
\texttt{000000fff} & 7 & 3 & 2 & 23 & 36 & 3 \\
\texttt{000000fdf} & 7 & 3 & 2 & 24 & 12 & 3 \\
\texttt{0000006ef} & 7 & 3 & 1 & 26 & 12 & 3 \\
\texttt{0000000ef} & 7 & 3 & 1 & 28 & 12 & 3 \\
\texttt{0000000ee} & 7 & 3 & 1 & 29 & 12 & 3 \\
\texttt{000000067} & 7 & 3 & 1 & 30 & 8 & 3 \\
\texttt{000000023} & 7 & 3 & 1 & 32 & 36 & 3 \\
\texttt{000000007} & 7 & 3 & 1 & 32 & 24 & 3 \\
\texttt{000000003} & 7 & 3 & 1 & 33 & 24 & 3 \\
