hex & length & rank & girth & n_nonbases & ord(Aut) & Aut_bases_-1_max_deg \\
\texttt{00ffff} & 6 & 3 & 3 & 4 & 48 & 3 \\
\texttt{0079ef} & 6 & 3 & 2 & 8 & 16 & 3 \\
\texttt{7f} & 7 & 1 & 2 & 0 & 5040 & 3 \\
\texttt{3f} & 7 & 1 & 1 & 1 & 720 & 3 \\
\texttt{1f} & 7 & 1 & 1 & 2 & 240 & 3 \\
\texttt{0f} & 7 & 1 & 1 & 3 & 144 & 3 \\
\texttt{07} & 7 & 1 & 1 & 4 & 144 & 3 \\
\texttt{03} & 7 & 1 & 1 & 5 & 240 & 3 \\
\texttt{1fffff} & 7 & 2 & 3 & 0 & 5040 & 3 \\
\texttt{0fffff} & 7 & 2 & 2 & 1 & 240 & 3 \\
\texttt{0f7fff} & 7 & 2 & 2 & 2 & 48 & 2 \\
\texttt{0f7fbf} & 7 & 2 & 2 & 3 & 48 & 3 \\
\texttt{05bbdf} & 7 & 2 & 1 & 6 & 720 & 3 \\
\texttt{03ffff} & 7 & 2 & 2 & 3 & 144 & 3 \\
\texttt{03f7fe} & 7 & 2 & 2 & 5 & 48 & 2 \\
\texttt{03f73f} & 7 & 2 & 2 & 6 & 72 & 2 \\
\texttt{01bbdf} & 7 & 2 & 1 & 7 & 48 & 3 \\
\texttt{01b3df} & 7 & 2 & 1 & 8 & 16 & 2 \\
\texttt{01b3de} & 7 & 2 & 1 & 9 & 48 & 3 \\
\texttt{0099cf} & 7 & 2 & 1 & 11 & 240 & 3 \\
\texttt{007fff} & 7 & 2 & 2 & 6 & 144 & 3 \\
\texttt{007fbf} & 7 & 2 & 2 & 7 & 48 & 3 \\
\texttt{007fbc} & 7 & 2 & 2 & 9 & 144 & 3 \\
\texttt{003b9c} & 7 & 2 & 1 & 12 & 72 & 2 \\
\texttt{00198f} & 7 & 2 & 1 & 13 & 16 & 2 \\
\texttt{0008c7} & 7 & 2 & 1 & 15 & 144 & 3 \\
\texttt{0007ff} & 7 & 2 & 2 & 10 & 240 & 3 \\
\texttt{0007fe} & 7 & 2 & 2 & 11 & 240 & 3 \\
\texttt{0003df} & 7 & 2 & 1 & 12 & 48 & 3 \\
\texttt{0003de} & 7 & 2 & 1 & 13 & 48 & 3 \\
\texttt{0000c6} & 7 & 2 & 1 & 17 & 48 & 2 \\
\texttt{000043} & 7 & 2 & 1 & 18 & 144 & 3 \\
\texttt{00003f} & 7 & 2 & 2 & 15 & 720 & 3 \\
\texttt{00001f} & 7 & 2 & 1 & 16 & 120 & 3 \\
\texttt{00000f} & 7 & 2 & 1 & 17 & 48 & 3 \\
\texttt{000003} & 7 & 2 & 1 & 19 & 48 & 3 \\
\texttt{000001} & 7 & 2 & 1 & 20 & 240 & 3 \\
\texttt{07fffffff} & 7 & 3 & 3 & 4 & 144 & 3 \\
\texttt{00e3f0fdc} & 7 & 3 & 2 & 17 & 144 & 3 \\
\texttt{000f7bde0} & 7 & 3 & 2 & 19 & 16 & 3 \\
\texttt{0005b96ef} & 7 & 3 & 1 & 19 & 48 & 3 \\
\texttt{0005b96e0} & 7 & 3 & 1 & 23 & 48 & 3 \\
\texttt{0003f0fc0} & 7 & 3 & 2 & 23 & 48 & 4 \\
\texttt{0001b06cf} & 7 & 3 & 1 & 23 & 16 & 3 \\
\texttt{0001b06c0} & 7 & 3 & 1 & 27 & 48 & 3 \\
\texttt{0000781ff} & 7 & 3 & 2 & 22 & 144 & 3 \\
\texttt{0000781fe} & 7 & 3 & 2 & 23 & 144 & 3 \\
\texttt{000007fff} & 7 & 3 & 3 & 20 & 720 & 3 \\
\texttt{000003fff} & 7 & 3 & 2 & 21 & 48 & 3 \\
\texttt{000003dff} & 7 & 3 & 2 & 22 & 16 & 3 \\
\texttt{000003dfe} & 7 & 3 & 2 & 23 & 48 & 3 \\
\texttt{0000016ef} & 7 & 3 & 1 & 25 & 120 & 3 \\
\texttt{000000fdc} & 7 & 3 & 2 & 26 & 72 & 3 \\
\texttt{0000006cf} & 7 & 3 & 1 & 27 & 8 & 3 \\
\texttt{000000267} & 7 & 3 & 1 & 29 & 48 & 3 \\
\texttt{0000001ff} & 7 & 3 & 2 & 26 & 48 & 3 \\
\texttt{0000001fe} & 7 & 3 & 2 & 27 & 48 & 3 \\
\texttt{000000066} & 7 & 3 & 1 & 31 & 16 & 3 \\
\texttt{00000001f} & 7 & 3 & 2 & 30 & 240 & 3 \\
\texttt{00000000f} & 7 & 3 & 1 & 31 & 48 & 3 \\
\texttt{000000001} & 7 & 3 & 1 & 34 & 144 & 3 \\
