hex & length & rank & girth & n_nonbases & ord(Aut) & Aut_bases_-1_max_deg \\
\texttt{0f} & 4 & 1 & 2 & 0 & 24 & 3 \\
\texttt{1e} & 4 & 2 & 2 & 2 & 8 & 2 \\
\texttt{1f} & 5 & 1 & 2 & 0 & 120 & 3 \\
\texttt{0f} & 5 & 1 & 1 & 1 & 24 & 3 \\
\texttt{01} & 5 & 1 & 1 & 4 & 24 & 3 \\
\texttt{1ef} & 5 & 2 & 2 & 2 & 8 & 2 \\
\texttt{036} & 5 & 2 & 1 & 6 & 8 & 2 \\
\texttt{00f} & 5 & 2 & 2 & 6 & 24 & 3 \\
\texttt{3f} & 6 & 1 & 2 & 0 & 720 & 3 \\
\texttt{1f} & 6 & 1 & 1 & 1 & 120 & 3 \\
\texttt{0f} & 6 & 1 & 1 & 2 & 48 & 3 \\
\texttt{03} & 6 & 1 & 1 & 4 & 48 & 3 \\
\texttt{01} & 6 & 1 & 1 & 5 & 120 & 3 \\
\texttt{3dff} & 6 & 2 & 2 & 2 & 16 & 2 \\
\texttt{3dfe} & 6 & 2 & 2 & 3 & 48 & 3 \\
\texttt{0fdc} & 6 & 2 & 2 & 6 & 72 & 2 \\
\texttt{06cf} & 6 & 2 & 1 & 7 & 8 & 2 \\
\texttt{01ff} & 6 & 2 & 2 & 6 & 48 & 3 \\
\texttt{01fe} & 6 & 2 & 2 & 7 & 48 & 3 \\
\texttt{0066} & 6 & 2 & 1 & 11 & 16 & 2 \\
\texttt{001f} & 6 & 2 & 2 & 10 & 120 & 3 \\
\texttt{000f} & 6 & 2 & 1 & 11 & 24 & 3 \\
\texttt{0001} & 6 & 2 & 1 & 14 & 48 & 3 \\
\texttt{0079e0} & 6 & 3 & 2 & 12 & 48 & 3 \\
\texttt{0001ef} & 6 & 3 & 2 & 12 & 8 & 3 \\
\texttt{000036} & 6 & 3 & 1 & 16 & 8 & 3 \\
\texttt{00000f} & 6 & 3 & 2 & 16 & 48 & 3 \\
